Restaurant ID,Restaurant name,Order ID,Subtotal,Delivery fee,Total taxes,Total,Payment method,Fulfillment date (YYYY-MM-DD),Fulfillment time,Service fees on subtotal
402973,Edo Japan,559415916,35.4,0,1.77,41.06,CARD,2022-08-27,18:17,3.89
402973,Edo Japan,559435689,18.2,4.5,0.91,25.61,CASH,2022-08-27,18:47,2
402973,Edo Japan,559971633,21.2,4.5,1.06,29.09,ONLINE,2022-08-28,17:27,2.33
402973,Edo Japan,560464613,20.45,4.5,1.02,31.04,ONLINE,2022-08-29,19:01,2.25
402973,Edo Japan,560901414,51.3,0,2.57,66.65,ONLINE,2022-08-30,18:47,5.64
402973,Edo Japan,560918969,16.5,4.5,0.83,29.33,ONLINE,2022-08-30,19:24,1.82
402973,Edo Japan,561235119,19.9,4.5,1,31.73,ONLINE,2022-08-31,14:19,2.19
402973,Edo Japan,561321565,21.95,4.5,1.1,34.96,ONLINE,2022-08-31,17:00,2.41
402973,Edo Japan,561395962,64.35,0,3.22,81.65,PayPal,2022-08-31,19:39,7.08
402973,Edo Japan,561447098,24.5,4.5,1.23,32.93,ONLINE,2022-09-01,17:11,2.7
402973,Edo Japan,561720107,18.6,4.5,0.93,26.08,CARD,2022-09-01,15:05,2.05
402973,Edo Japan,561825742,29.95,4.5,1.5,45.13,ONLINE,2022-09-01,17:34,3.29
402973,Edo Japan,561877300,28.55,4.5,1.43,39.5,ONLINE,2022-09-01,19:15,3.14
402973,Edo Japan,563037399,36.25,0,1.81,47.05,ONLINE,2022-09-03,17:19,3.99
402973,Edo Japan,563047858,41.7,0,2.09,48.38,ONLINE,2022-09-03,17:34,4.59
402973,Edo Japan,563512114,39.75,0,1.99,53.03,ONLINE,2022-09-04,14:10,4.37
402973,Edo Japan,563631499,26.6,4.5,1.33,35.36,ONLINE,2022-09-04,17:20,2.93
402973,Edo Japan,563671199,69.3,0,3.47,88.43,ONLINE,2022-09-04,18:19,7.62
402973,Edo Japan,563678209,35.85,0,1.79,48.58,ONLINE,2022-09-04,18:35,3.94
402973,Edo Japan,563702354,40.65,0,2.03,47.15,CARD,2022-09-04,19:24,4.47
402973,Edo Japan,563711093,35.1,0,1.76,45.61,ONLINE,2022-09-04,19:36,3.86
402973,Edo Japan,564042115,21.9,4.5,1.1,30,ONLINE,2022-09-05,15:27,2.41
402973,Edo Japan,564082791,39.25,0,1.96,45.53,CARD,2022-09-05,17:16,4.32
402973,Edo Japan,564157911,21.1,4.5,1.06,34.78,PayPal,2022-09-05,19:33,2.32
402973,Edo Japan,564396769,14.95,4.5,0.75,21.84,CASH,2022-09-06,12:23,1.64
402973,Edo Japan,564496110,34.85,4.5,1.74,44.92,CARD,2022-09-06,16:22,3.83
402973,Edo Japan,564506248,37.85,0,1.89,45.9,PayPal,2022-09-06,16:58,4.16
402973,Edo Japan,564825699,35.9,0,1.8,45.82,ONLINE,2022-09-07,12:24,3.95
402973,Edo Japan,565316896,26.2,4.5,1.31,34.89,CASH,2022-09-08,13:27,2.88
402973,Edo Japan,565423890,23.25,4.5,1.16,34.62,ONLINE,2022-09-08,17:29,2.56
402973,Edo Japan,566052999,33.4,4.5,1.67,43.24,ONLINE,2022-09-09,19:01,3.67
402973,Edo Japan,566312302,15.4,4.5,0.77,22.36,CASH,2022-09-11,18:07,1.69
